mes;consumo
ene-06;8168
feb-06;7349,2
mar-06;8364,5
abr-06;7900,2
may-06;8717,8
jun-06;8564
jul-06;8508,5
ago-06;7991,2
sept-06;8378,4
oct-06;8403,3
nov-06;7951,3
dic-06;7985,8
ene-07;8155,3
feb-07;7247,3
mar-07;8181,4
abr-07;7783,8
may-07;8412,3
jun-07;8151,2
jul-07;8441,5
ago-07;7799,2
sept-07;8108,1
oct-07;8351,9
nov-07;7982,5
dic-07;7891,9
ene-08;8007,7
feb-08;7396,8
mar-08;7904,1
abr-08;7806,8
may-08;7869,5
jun-08;8034,2
jul-08;7983,8
ago-08;7494,1
sept-08;7890,6
oct-08;7833
nov-08;7432,5
dic-08;7641,6
ene-09;7679,3
feb-09;6948,2
mar-09;7737,6
abr-09;7509,2
may-09;8230,9
jun-09;8017,5
jul-09;7928
ago-09;7489,2
sept-09;7999,6
oct-09;8162,3
nov-09;7546,6
dic-09;7519,1
ene-10;7356,3
feb-10;6633,4
mar-10;7432,2
abr-10;7263
may-10;7754,2
jun-10;7598,6
jul-10;7605,9
ago-10;7210,7
sept-10;7574,8
oct-10;7573,9
nov-10;7100,5
dic-10;7145,6
ene-11;7179,2
feb-11;6512,2
mar-11;7241,5
abr-11;7040,8
may-11;7507,3
jun-11;7617,4
jul-11;7301,8
ago-11;6804,5
sept-11;7279,3
oct-11;7333,9
nov-11;6792
dic-11;6833,6
ene-12;6928,3
feb-12;6613,8
mar-12;7138,3
abr-12;6659
may-12;7351,2
jun-12;7246
jul-12;7090,8
ago-12;6710,3
sept-12;7180,5
oct-12;7195,4
nov-12;6699,1
dic-12;6628,7
ene-13;6776,9
feb-13;6161,2
mar-13;6646
abr-13;6663,6
may-13;6911,2
jun-13;6919,2
jul-13;6802,5
ago-13;6386,7
sept-13;6785,1
oct-13;6833,9
nov-13;6412,4
dic-13;6367,2
ene-14;6390,2
feb-14;5703,8
mar-14;6448,5
abr-14;6443,3
may-14;6988,8
jun-14;6774,8
jul-14;6569,8
ago-14;6140,9
sept-14;6571,6
oct-14;6709,8
nov-14;6265,6
dic-14;6377,1
ene-15;6443,5
feb-15;5928,1
mar-15;6648,1
abr-15;6475,1
may-15;7128
jun-15;6968,9
jul-15;6930
ago-15;6445,3
sept-15;6707,9
oct-15;6617,2
nov-15;6376,9
dic-15;6515
ene-16;6435
feb-16;6040,1
mar-16;6519,1
abr-16;6336,9
may-16;6537,1
jun-16;6787,4
jul-16;6606,7
ago-16;6360,1
sept-16;6717,7
oct-16;6695,7
nov-16;6261,3
dic-16;6267,6
ene-17;6321,6
feb-17;5605
mar-17;6340,2
